Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Churn
Daniel Washington,54.0,12147.83,1,4.17,8.0,0
Joseph Anderson,48.0,8093.03,1,4.26,8.0,0
Kylie Reynolds,28.0,9090.43,1,5.74,10.0,0
Chelsea Marsh,41.0,9552.57,0,3.81,8.0,0
Carlos Miller,47.0,9004.44,0,3.79,8.0,0
Lindsey Adams,46.0,14361.38,0,4.52,8.0,0
Jerry Nguyen,36.0,8972.54,0,5.23,8.0,0
Mark Ingram,44.0,11611.28,0,5.8,11.0,0
Casey Hess,43.0,9399.92,1,4.98,8.0,0
Gary Odom,37.0,7982.38,1,4.29,8.0,0
John Snyder,36.0,6930.95,0,5.19,7.0,0
Karen Wade,38.0,11667.01,0,3.8,8.0,0
Kathleen Salazar,31.0,5387.75,0,6.83,9.0,0
Mary Frank,33.0,10709.39,1,5.22,6.0,0
Lisa Reid,41.0,11623.42,1,4.18,9.0,0
Nathan Hammond,53.0,9683.85,0,5.89,8.0,0
Theresa Terry,44.0,8819.13,1,4.38,10.0,0
John Jones,44.0,7736.13,1,4.48,8.0,0
Teresa Smith,45.0,7158.66,1,6.25,7.0,0
Heather Thompson,50.0,9248.87,0,4.56,9.0,0
Melanie Cain,40.0,11916.26,0,4.51,7.0,0
Kenneth Graham,50.0,9641.61,0,3.09,5.0,0
Abigail Jennings,36.0,12309.23,1,4.76,9.0,0
Andrea Ford,40.0,11362.95,0,4.37,11.0,0
Johnathan Gonzalez,56.0,10074.4,1,5.17,7.0,0
Katie Khan,40.0,10762.29,0,5.02,7.0,0
Michelle Johnson,30.0,8874.83,0,5.56,9.0,0
Hannah Best,51.0,5830.99,0,6.93,6.0,0
David Morrison,35.0,8297.87,0,5.42,8.0,0
Cindy Olson,33.0,5738.82,0,7.66,7.0,0
John Jackson,41.0,11655.82,1,7.92,9.0,0
Christine Livingston,47.0,7362.18,0,6.57,7.0,0
Mrs. Brittany Lopez,43.0,10938.11,0,3.21,8.0,0
Paula Willis,36.0,8514.8,1,4.01,11.0,0
Ryan Martin,34.0,8772.26,0,5.78,9.0,0
Roy Case,40.0,7656.02,1,5.62,9.0,0
Henry Krueger,41.0,10375.39,0,5.54,8.0,0
Jaime Padilla,46.0,7684.02,1,6.24,8.0,0
Barry Gallagher,52.0,6805.48,1,6.05,9.0,0
Andrew Young,30.0,6744.87,0,5.14,9.0,0
Amy Henderson,31.0,10058.87,1,6.54,7.0,0
Theresa Ford,40.0,9133.36,0,4.21,7.0,0
Donald Flores,46.0,11580.56,1,3.43,9.0,0
Sarah Schmidt,41.0,10631.84,1,3.47,9.0,0
Melissa Hall,32.0,10716.75,0,5.12,8.0,0
Annette Taylor,41.0,10919.81,0,4.63,8.0,0
Robert Allen,48.0,10241.32,1,7.25,7.0,0
Jessica Howard,46.0,9171.56,1,5.02,8.0,0
Michael Lam,40.0,7675.52,1,4.31,11.0,0
Nancy Thompson,36.0,13308.01,0,5.07,8.0,0
Steve Lewis,37.0,7961.21,0,2.91,9.0,0
Amanda Brown,32.0,12403.6,0,4.99,7.0,0
Danielle Morris,46.0,10814.59,0,4.91,8.0,0
Jessica Hernandez,31.0,8829.83,1,4.52,8.0,0
Nicole Richards,52.0,7170.66,1,4.53,7.0,0
Lauren Johnson,47.0,10332.16,1,4.89,9.0,0
Wendy Moore,41.0,14722.35,0,6.98,6.0,0
Destiny Steele,39.0,13532.85,1,5.63,9.0,0
Dakota Porter,41.0,7683.97,1,6.17,7.0,0
Sara Campbell,47.0,6398.91,1,5.0,8.0,0
Manuel Hill,37.0,14595.51,1,3.83,12.0,0
Douglas Lee,48.0,6783.99,1,3.89,8.0,0
Charles Doyle,35.0,8190.27,0,6.28,7.0,0
Rebecca Hamilton,45.0,9317.12,1,6.93,6.0,0
Dominique Kemp,40.0,10370.72,1,4.35,5.0,0
Thomas Parker,42.0,12277.9,1,5.1,8.0,0
Aaron West,55.0,10056.55,0,4.98,8.0,0
Samantha Clark,35.0,12398.62,1,5.6,9.0,0
Patrick Campos,40.0,10290.14,0,4.6,10.0,0
Kevin Hicks DDS,49.0,9957.26,0,4.76,7.0,0
Joseph Hall,35.0,13480.91,1,4.41,7.0,0
Samantha Flores,39.0,11670.73,0,6.45,8.0,0
John Castillo,31.0,7073.61,0,5.73,9.0,0
Christy Hamilton,45.0,9852.25,1,4.55,8.0,0
Jay Mosley,40.0,6402.3,0,4.28,7.0,0
Sonya Lewis,48.0,9282.99,0,4.32,6.0,0
Pamela Bell,37.0,8884.39,0,6.16,7.0,0
Evan Davis,46.0,13296.89,1,4.81,6.0,0
Jonathan Jones,35.0,7361.92,1,4.97,9.0,0
Richard Rojas,54.0,8092.55,1,4.55,10.0,0
Jerome Pitts,39.0,9528.99,0,5.97,8.0,0
Yolanda Jackson,53.0,8122.34,0,3.51,9.0,0
Jessica Wells,41.0,14738.09,1,6.5,8.0,0
Mark Choi,34.0,11687.29,0,4.54,7.0,0
Megan Wilson,43.0,7948.18,0,3.88,7.0,0
Kathleen Reid,42.0,7915.44,1,6.17,8.0,0
Walter Bates,40.0,10180.59,1,6.5,10.0,0
Rita Young,44.0,8748.36,1,6.32,10.0,0
David Sanders,41.0,8021.05,1,3.16,9.0,0
Thomas Richardson,44.0,10445.76,0,7.02,8.0,0
Victoria Shaffer,34.0,9919.38,0,4.43,8.0,0
Dwayne Ryan,39.0,10741.9,0,5.48,8.0,0
David Moore,40.0,7380.48,1,6.45,7.0,0
Matthew Huffman,45.0,9649.26,1,3.77,9.0,0
Mary Kent,42.0,9349.99,1,4.38,7.0,0
Molly Young,46.0,12849.1,0,4.97,8.0,0
Eric Castro,38.0,10770.82,0,4.99,10.0,0
Tammy Johnson,35.0,8828.59,0,6.77,9.0,0
Mallory Powell,48.0,9921.89,0,3.73,9.0,0
Michael Nichols,45.0,6977.56,0,6.94,11.0,0
Jason Stevenson,44.0,8580.85,0,5.52,10.0,0
Andrea Warner,46.0,10469.5,0,6.54,10.0,0
Susan Casey,55.0,8907.17,1,7.6,11.0,0
Billy Garner,46.0,10050.61,0,4.99,7.0,0
Matthew Dixon,38.0,10522.6,1,5.46,10.0,0
Jessica Sharp,34.0,9265.59,0,5.77,8.0,0
Elizabeth Drake,40.0,10930.16,1,6.63,7.0,0
Tina Schmidt,45.0,10668.91,0,7.21,8.0,0
Elizabeth Kennedy,47.0,11335.97,0,6.84,6.0,0
Brandy Martinez,41.0,12247.91,0,5.08,9.0,0
Trevor Henderson,47.0,9303.43,0,5.5,8.0,0
Brandi Bryan,38.0,9826.29,0,4.93,8.0,0
Curtis Robinson,37.0,10565.59,0,4.76,10.0,0
Daniel Barton,44.0,9855.18,0,6.94,7.0,0
Carolyn Cabrera,51.0,7810.06,0,5.99,9.0,0
Mary Marshall,39.0,11144.51,0,4.25,9.0,0
Thomas Campbell,36.0,8931.09,1,7.55,7.0,0
Christopher Clark,50.0,8929.88,0,5.63,7.0,0
Rose White,35.0,9435.2,1,6.23,7.0,0
Derek Martinez,40.0,11553.65,1,4.43,6.0,0
Wendy Key,60.0,9621.04,1,7.65,8.0,0
Lisa Fisher,43.0,11401.42,0,3.63,10.0,0
Kyle Hinton,43.0,10491.4,1,4.23,8.0,0
Travis Howell,44.0,10585.86,0,5.54,8.0,0
Vanessa Donaldson,52.0,10697.72,0,8.35,8.0,0
Kathy Robertson,37.0,11430.75,0,5.99,10.0,0
Katie Nichols,48.0,8465.53,1,4.98,9.0,0
Shannon Miller,35.0,7759.15,1,6.06,10.0,0
Stacy Marshall,42.0,13081.64,0,4.66,9.0,0
Heather Little,33.0,4711.89,0,4.97,7.0,0
Jose Rowland,36.0,12252.57,0,5.13,8.0,0
Brittany Martinez,39.0,13029.61,1,4.83,8.0,0
Charles Ellison,43.0,10746.69,0,8.62,9.0,0
Dr. Kathleen Wiley,45.0,8665.79,0,5.09,9.0,0
Justin Roman PhD,34.0,5447.16,1,4.13,9.0,0
Daniel Todd,37.0,9772.95,1,3.81,8.0,0
Eugene Robertson,41.0,7464.08,0,3.74,8.0,0
Frank Chase,39.0,6168.66,1,4.71,8.0,0
Nancy Martin,34.0,12567.53,0,3.36,11.0,0
Duane Mcdonald,55.0,8280.03,0,6.33,5.0,0
Heather Daniel,36.0,11274.98,0,4.12,10.0,0
Michelle Berry,42.0,9635.87,1,2.43,9.0,0
Claire Rivera,48.0,13743.12,1,4.83,7.0,0
Benjamin Huff,45.0,8871.53,0,3.76,8.0,0
Bradley Chambers,37.0,8818.03,1,2.89,9.0,0
Terry Kelley,37.0,9788.78,0,5.24,7.0,0
Kenneth Fuller,34.0,6131.92,0,4.17,9.0,0
Stephen Reed,40.0,12043.27,1,5.04,7.0,0
Angela Holloway,40.0,12919.92,0,4.23,11.0,0
David Carter,38.0,10367.14,0,5.92,9.0,0
Nancy Bartlett,44.0,9063.16,1,4.76,8.0,0
Jason Hebert,40.0,10606.97,1,4.11,10.0,0
Gerald Mullins,42.0,8558.52,0,5.36,7.0,0
James Smith,43.0,11375.25,1,5.09,9.0,0
Samantha Munoz,48.0,8514.24,0,4.61,9.0,0
Megan Smith,39.0,12019.93,0,4.87,10.0,0
Gregory Chandler,38.0,9419.66,1,5.24,9.0,0
Crystal Smith,33.0,10309.71,1,2.96,7.0,0
Juan Simmons PhD,47.0,10313.06,0,5.44,8.0,0
Monica Downs,34.0,13460.92,1,3.67,7.0,0
Paul Wilson,54.0,10216.59,0,2.77,7.0,0
Sandra Hogan,37.0,12766.24,0,3.72,9.0,0
Anna Wood,38.0,11360.99,0,4.5,7.0,0
Patrick Edwards,47.0,9166.22,0,3.51,9.0,0
Matthew Clayton,41.0,8996.04,1,6.19,9.0,0
Mark Marquez,55.0,9743.57,0,5.89,8.0,0
Alexis Allen,43.0,7686.13,1,7.17,8.0,0
Melissa Coleman,29.0,13255.05,1,4.89,8.0,0
Terry Curtis MD,48.0,8403.02,0,3.61,11.0,0
Jessica Campbell,43.0,7277.27,1,5.98,8.0,0
Brandon Wilson,32.0,8575.71,0,4.26,9.0,0
Meghan Jackson,46.0,9844.79,0,3.57,11.0,0
Jeffrey Simpson,42.0,7529.23,1,5.86,7.0,0
Cheryl Hernandez,46.0,4111.4,0,3.93,8.0,0
Amy Riddle,45.0,8389.84,1,6.81,5.0,0
Linda Moore,40.0,7864.63,0,4.56,9.0,0
Carol Bush,39.0,8677.62,0,5.2,7.0,0
Gail Lopez,25.0,9672.03,0,5.49,8.0,0
Joseph Bauer,33.0,11370.28,1,4.4,6.0,0
Kayla Foley,44.0,13915.9,0,4.61,9.0,0
Teresa Reyes,35.0,10999.05,0,4.76,10.0,0
Shannon Potter,39.0,7636.98,0,5.56,9.0,0
Barbara Singleton,38.0,9461.83,0,4.9,10.0,0
Kayla Reeves,38.0,100.0,0,5.27,5.0,0
Tami Smith,53.0,9655.25,0,4.44,10.0,0
Brandon Hunter,45.0,15188.65,0,6.17,8.0,0
Lisa Rodriguez,49.0,14124.0,1,3.02,10.0,0
Eric Martin,44.0,14155.97,1,6.99,8.0,0
Sharon Hull,37.0,11294.26,0,4.95,10.0,0
Allison Clark DDS,43.0,14241.75,0,3.73,12.0,0
Nicholas Williams,43.0,11334.3,0,3.47,9.0,0
Wanda Hess,34.0,7818.13,0,6.11,8.0,0
Fernando Ramsey,47.0,11520.18,1,5.07,9.0,0
Sylvia Crawford,47.0,7996.78,1,5.45,8.0,0
Trevor Burns,27.0,8628.8,1,5.3,7.0,0
Kristen Terry,39.0,10292.19,0,4.99,8.0,0
Mr. Joseph Garcia,32.0,11540.86,0,3.0,7.0,0
Lauren Nelson,40.0,7490.92,0,4.75,5.0,0
Frank Coleman,39.0,4316.73,1,4.79,9.0,0
Faith Sanchez,41.0,11738.88,0,7.27,9.0,0
Catherine Johnston,38.0,15509.97,0,4.65,8.0,0
Anthony Green,52.0,12010.74,0,5.09,8.0,0
Justin Brady,43.0,5907.07,0,5.89,8.0,0
Hector Anderson,39.0,10510.95,0,2.87,9.0,0
Jessica Hudson,43.0,8914.46,0,6.49,7.0,0
Brittney Nichols,38.0,5353.97,0,6.25,9.0,0
Mary Davis,36.0,12495.15,0,4.86,9.0,0
Paula Rivera,45.0,13118.56,0,4.89,7.0,0
Lisa Munoz,39.0,5846.65,1,6.65,9.0,0
Kimberly Carrillo,37.0,7239.49,1,5.01,9.0,0
Charles Thompson,36.0,14003.88,1,3.54,6.0,0
Jasmin Sullivan,43.0,9891.3,0,5.75,11.0,0
Christopher Martin,39.0,9655.42,1,5.5,8.0,0
Richard Gonzalez,49.0,7904.67,0,5.58,6.0,0
Christopher Price,43.0,10598.35,1,6.72,8.0,0
Jeremy Garcia,31.0,10182.6,1,3.77,8.0,0
Kevin Hebert,41.0,11316.69,0,6.23,10.0,0
Jessica Morris,43.0,6065.64,1,4.86,7.0,0
Wendy Wells,41.0,8907.76,0,6.99,7.0,0
Amanda Barnett,45.0,9773.22,1,3.79,10.0,0
Willie George II,32.0,9036.27,0,7.14,11.0,0
Troy Burke,50.0,8193.77,0,5.13,8.0,0
Kyle Mcguire,30.0,10183.98,1,5.14,9.0,0
Adam Harris,44.0,9815.03,1,4.9,9.0,0
Roy Marshall,43.0,6098.15,0,3.74,8.0,0
Lisa Lee,45.0,13100.75,1,7.79,10.0,0
Marc Price,40.0,10638.66,0,4.35,10.0,0
James Griffin,52.0,9519.64,0,5.61,8.0,0
Leslie Lopez,50.0,10358.08,0,5.41,8.0,0
Richard Jackson,46.0,7638.13,1,4.91,9.0,0
Kevin Gordon MD,42.0,10807.46,1,6.74,7.0,0
Dean Spears,37.0,11945.5,1,5.37,8.0,0
Kara Barnett,48.0,13597.5,0,6.45,8.0,0
Kelly White,47.0,7364.12,1,3.65,9.0,0
Laura Turner,42.0,8934.99,1,6.21,8.0,0
Hannah Mack,34.0,13672.54,0,6.05,6.0,0
Christina Farmer,44.0,9446.84,0,4.59,10.0,0
Patricia Deleon,36.0,11082.13,0,4.84,9.0,0
Peggy Rodriguez,38.0,10005.91,1,5.44,9.0,0
Steven Price,38.0,11227.39,1,5.71,9.0,0
Linda Mason,34.0,13574.25,0,5.2,9.0,0
Edward Rhodes,46.0,7876.84,1,6.41,10.0,0
Martin Williams MD,39.0,10413.93,0,3.75,11.0,0
Molly Perez,36.0,11079.61,1,4.12,9.0,0
David Hernandez,36.0,12192.94,1,6.46,9.0,0
Brendan Garcia,47.0,9101.71,0,4.11,6.0,0
Curtis Phillips,38.0,12978.81,0,7.94,7.0,0
Frank Mann MD,43.0,8007.18,1,5.45,8.0,0
Wayne Clark,43.0,6471.68,0,4.93,9.0,0
Carol Johnston,33.0,14160.05,1,4.61,7.0,0
Cameron Brown,39.0,11490.75,0,4.93,8.0,0
Jacob Gutierrez,40.0,11338.94,0,6.23,7.0,0
Caitlin Johnston,28.0,11245.38,0,6.72,8.0,0
Monica Graham,40.0,13987.59,1,5.58,7.0,0
Andrew Gates,48.0,12810.16,0,2.21,10.0,0
Alyssa Pitts,45.0,10976.03,0,4.5,10.0,0
Robert Rowe,48.0,7737.57,1,4.19,9.0,0
Keith Perez,45.0,7748.34,0,4.2,8.0,0
Benjamin Davenport,55.0,8270.52,1,5.15,8.0,0
Joshua Turner,32.0,11715.72,0,4.73,9.0,0
Mathew Rivera,48.0,9219.4,1,5.91,6.0,0
Richard Underwood,45.0,5347.74,1,5.62,10.0,0
Cathy Carney,42.0,9261.41,0,3.92,9.0,0
John Harris,41.0,11789.33,0,4.61,9.0,0
John Walter,44.0,14023.22,1,3.49,10.0,0
Michael Lopez,36.0,9993.5,0,6.6,6.0,0
Erik Martinez,41.0,6535.91,0,4.83,11.0,0
Sally Velazquez,44.0,12835.19,1,5.44,7.0,0
Thomas Spears,42.0,11654.34,0,5.06,10.0,0
Robin Sanchez,45.0,12200.96,1,4.7,6.0,0
Janet Hayden,34.0,12813.91,0,2.41,7.0,0
Francisco Moore,36.0,10345.19,1,4.84,10.0,0
Tony Boone,49.0,8232.11,0,6.84,8.0,0
Phillip Spears,52.0,14838.84,0,5.12,8.0,0
Brandon Ballard,43.0,9541.45,0,6.05,8.0,0
Christopher Johnson,46.0,7424.11,0,4.83,9.0,0
Brian Torres,37.0,7062.59,1,4.56,9.0,0
Cheryl Hayes,51.0,10776.82,0,5.1,5.0,0
Steven Mendoza,50.0,13247.31,0,3.48,6.0,0
Randy Hill,40.0,8610.43,1,5.08,7.0,0
Beth Fitzgerald,48.0,8863.36,0,6.35,7.0,0
Angela Ross,39.0,13574.53,1,5.69,10.0,0
Teresa Higgins,41.0,14216.37,1,1.81,8.0,0
Andrew Hester,48.0,11555.21,1,4.45,8.0,0
Laura Williams,55.0,5720.98,1,6.63,8.0,0
Vanessa Hodge,38.0,8370.15,0,8.6,5.0,0
Amy Stanley,43.0,9060.28,1,4.95,6.0,0
Brenda Ruiz,44.0,7193.84,0,6.22,7.0,0
William Krause,42.0,11225.96,0,5.89,7.0,0
David Bowers,49.0,12893.19,0,5.13,7.0,0
David Grant,45.0,13896.99,0,4.26,8.0,0
Dominique Schneider,43.0,12378.57,1,4.04,8.0,0
Martin Avila,42.0,11768.71,1,6.24,7.0,0
Dean Beck,32.0,8011.38,0,5.35,10.0,0
Kevin Powell,43.0,16955.76,0,7.04,8.0,0
John Barber,43.0,10530.33,1,4.14,7.0,0
Sylvia Sherman,42.0,11783.81,1,5.27,7.0,0
Susan Lucero,48.0,8824.84,1,5.93,7.0,0
George Parker,46.0,9737.34,1,5.17,8.0,0
Zachary Sanchez,49.0,8131.64,1,7.1,7.0,0
Tamara Williams,31.0,12264.68,1,5.88,8.0,0
Kathleen Marquez,35.0,3825.7,0,4.28,8.0,0
Carrie Williams,44.0,11597.38,0,3.45,7.0,0
Joel Johnson,55.0,5977.46,1,5.02,7.0,0
Joshua Cooper,41.0,9608.45,0,5.81,7.0,0
Amber Evans,37.0,10348.37,1,7.65,6.0,0
John Hawkins,41.0,13135.26,1,5.27,9.0,0
Scott Ingram,34.0,12760.01,0,3.87,8.0,0
Steven Blankenship,39.0,9848.4,1,6.73,10.0,0
Bailey Carroll,37.0,11517.19,1,8.34,11.0,0
Barbara Watkins,37.0,8316.89,0,3.6,8.0,0
James Wallace,40.0,7762.73,1,4.66,10.0,0
Joshua Brown DVM,49.0,13510.96,1,6.39,9.0,0
Whitney Kennedy,42.0,10442.37,0,5.58,5.0,0
David Allen,35.0,10550.87,1,5.72,9.0,0
Joshua Brown,31.0,5304.6,0,5.29,9.0,0
Cristian Sanchez,44.0,10157.21,0,6.14,7.0,0
Stephanie Martinez,42.0,12975.35,1,4.47,7.0,0
Christine Jenkins,38.0,6574.25,0,6.18,9.0,0
Michelle Davis,33.0,12638.51,1,5.01,8.0,0
Adam Porter,48.0,10746.37,1,4.22,8.0,0
David Murray,46.0,12873.63,1,5.73,7.0,0
Cynthia Wood,49.0,12681.35,0,3.68,5.0,0
Kenneth Johns,46.0,7730.53,1,5.3,8.0,0
Jason Dickson,46.0,8603.6,0,6.44,9.0,0
Johnny Jones,42.0,8218.63,0,5.9,9.0,0
Rodney Miller,34.0,9401.99,1,8.25,9.0,0
Tracy Jones,39.0,6127.84,0,4.22,9.0,0
Greg Swanson,44.0,11794.91,0,6.32,6.0,0
Bradley Bennett,41.0,8143.38,1,2.64,5.0,0
Michael Anderson,40.0,11873.76,1,6.5,8.0,0
Katherine Sandoval,22.0,11254.38,1,4.96,8.0,0
James Hensley,46.0,8951.42,0,4.13,8.0,0
Christopher Beasley,43.0,8662.18,1,7.31,8.0,0
Kayla Lopez,41.0,8427.12,0,4.37,6.0,0
Jonathan Ali,55.0,11555.42,0,4.86,10.0,0
Kenneth Wilkerson,42.0,11670.32,0,5.51,7.0,0
Alex Banks,36.0,8918.52,0,3.62,8.0,0
Brendan Higgins,34.0,13976.64,0,5.16,8.0,0
Monique Neal,44.0,6498.85,0,6.34,9.0,0
Kristen Bishop,39.0,9303.36,0,4.19,10.0,0
Amber Martin,40.0,8083.76,0,4.76,7.0,0
Eric Terry,42.0,16371.42,1,3.84,10.0,0
Troy Ochoa,32.0,5756.12,0,5.9,8.0,0
Michael Colon,41.0,9574.64,1,3.72,7.0,0
Charles Mcgrath,42.0,6623.97,0,5.4,8.0,0
Zachary Johnson,28.0,8670.98,0,3.99,6.0,0
Jennifer Bradley,48.0,10399.19,1,5.07,11.0,0
Kenneth Sanchez,40.0,12542.76,1,5.03,8.0,0
Colleen Morgan,46.0,11832.86,1,6.01,8.0,0
Jay Hunter,33.0,12249.96,0,2.96,8.0,0
Joshua Lang,49.0,11695.04,1,5.64,9.0,0
Krista Ashley,41.0,9000.05,0,5.59,6.0,0
James Stevens,44.0,12400.33,1,5.18,3.0,0
Megan Edwards,30.0,13473.35,0,3.84,10.0,0
Vanessa Romero,44.0,12227.39,0,6.46,7.0,0
Austin Branch,38.0,10788.67,0,4.98,7.0,0
Taylor Brown,37.0,10076.71,0,6.5,7.0,0
William Pearson,28.0,11204.23,0,3.67,11.0,0
Heidi Butler,39.0,14425.74,0,5.91,6.0,0
John Williams,46.0,9988.68,1,5.44,8.0,0
Gina Johnson,43.0,8261.89,0,7.36,9.0,0
Brittany Walker,34.0,9779.12,0,5.89,9.0,0
Lauren Campos,51.0,10328.42,1,5.12,7.0,0
Jennifer Garcia,38.0,12913.55,1,4.73,7.0,0
Mary Allen,37.0,7189.31,0,6.87,10.0,0
Ethan Cordova,39.0,18026.01,1,3.82,9.0,0
Anthony Molina,26.0,8939.61,0,4.54,7.0,0
David Compton,50.0,11294.45,1,2.17,10.0,0
Garrett Walker,42.0,8271.02,0,4.24,9.0,0
Benjamin Richard,44.0,5002.58,0,4.57,11.0,0
Timothy Brown,45.0,11187.93,1,4.95,9.0,0
Beth Barnes,51.0,9764.39,1,6.03,8.0,0
Patricia Combs,44.0,8917.57,0,4.28,6.0,0
Brian Hill,37.0,9499.3,1,6.81,8.0,0
Nathaniel Sanchez,41.0,8502.52,0,6.0,10.0,0
Tammy Pope,45.0,9576.07,1,7.01,8.0,0
Denise Watkins,47.0,9451.03,0,5.11,10.0,0
Mrs. Elizabeth Salas,48.0,9722.23,1,5.98,6.0,0
Jessica Morales,49.0,11227.48,0,5.1,9.0,0
Mark Murphy,47.0,10718.97,0,5.74,7.0,0
Deborah Morgan,40.0,11799.72,0,3.0,8.0,0
Kiara Vasquez,38.0,13074.81,1,4.67,7.0,0
Zachary Howard,49.0,9000.36,0,4.13,11.0,0
Vanessa Myers,39.0,13731.45,1,8.15,10.0,0
Beverly Hall,33.0,8556.73,0,4.21,9.0,0
Kristin Williams,37.0,12410.67,0,6.12,6.0,0
Mrs. Sherri Zhang,48.0,11316.41,1,4.74,10.0,0
Charles Schultz,35.0,13035.91,1,5.51,6.0,0
Manuel Williams,36.0,5695.21,0,4.1,7.0,0
Kevin Hardy,43.0,6411.25,0,2.82,7.0,0
Ann Johnson,42.0,9091.99,0,5.85,6.0,0
David Anderson,39.0,11680.91,1,6.35,7.0,0
Nicholas Porter,44.0,8841.3,1,6.08,7.0,0
Jose Gutierrez,51.0,7985.76,1,3.48,8.0,0
Sarah Burns,35.0,11814.59,0,5.89,6.0,0
Dana Bailey,52.0,7077.34,1,5.6,8.0,0
Diana Jackson,51.0,9879.37,0,3.55,10.0,0
Scott Love,28.0,11128.95,1,5.12,8.0,0
Doris Zimmerman,40.0,11575.55,1,5.22,5.0,0
Jeffrey Trevino,37.0,13268.55,0,3.92,11.0,0
Anthony Vega,44.0,9351.88,1,4.32,6.0,0
James Owen,43.0,9735.41,0,6.12,8.0,0
Aaron Meyer,45.0,9598.03,0,5.0,7.0,0
Holly Hill,43.0,5805.53,0,5.44,5.0,0
Andrew Leonard,41.0,14099.03,1,4.56,7.0,0
Jessica Leon,49.0,8523.04,1,4.15,5.0,0
Amy Garcia,42.0,6406.38,0,3.0,9.0,0
John Nixon,48.0,5622.5,0,6.05,7.0,0
Deanna Henry,47.0,6670.37,0,2.55,9.0,0
Jeremy Singleton,46.0,13547.39,0,2.67,8.0,0
Kara Anderson,47.0,9182.81,1,6.45,11.0,0
Kelly Braun,42.0,9741.19,1,3.85,9.0,0
Amanda Wade,39.0,8880.17,0,4.0,8.0,0
Jason West,45.0,13122.89,0,5.84,6.0,0
Adam Moore,41.0,12659.88,0,4.55,4.0,0
Brandon Ortiz,37.0,8286.87,1,6.25,8.0,0
Cindy Marshall,37.0,9229.96,0,3.65,8.0,0
Matthew Barnes,45.0,4863.73,1,5.17,8.0,0
Paul Miller,42.0,12800.82,1,3.62,8.0,0
Natalie Hodges,52.0,9893.92,0,6.91,7.0,0
Ana Smith,45.0,12056.18,0,5.46,4.0,0
Justin Leonard,51.0,6517.93,1,5.47,10.0,0
Joseph Williams,39.0,9315.6,1,5.02,10.0,0
